timestamp,CPU_UTIL_USER,CPU_UTIL_SYS,MEM_UTIL,NET_UTIL,STORAGE_UTIL,CPU TIME,WALL CLOCK TIME,CONTEXT SWITCHES,TSC,CYCLES,INSTRUCTIONS,REFERENCE CYCLES,L1 CACHE MISSES,L1 CACHE HITS,L2 CACHE MISSES,L2 CACHE HITS,LL CACHE MISSES,LL CACHE ACCESSES,MEM ACCESSES RD,MEM ACCESSES WR,BRANCH MISSES,BRANCHES,ITLB WALKS,DTLB LOAD WALKS,DTLB STORE WALKS,DTLB ACCESSES,CPU UTILIZATION,FREQUENCY,CPI,L1 CACHE MPKI,L1 CACHE MISS RATE,L2 CACHE MPKI,L2 CACHE MISS RATE,LL CACHE MPKI,LL CACHE MISS RATE,MEM BANDWITH RD,MEM BANDWITH WR,MEM BANDWITH,BRANCH MPKI,BRANCH MISS RATE,ITLB MPKI,DTLB MPKI,DTLB WALK RATE
0.0,0.17,0.08,3.06,0.0,0.0,64338.82,1001007470.0,1767.0,186145298736.0,493304890.0,456966229.0,1060771048.0,2589572.0,110843877.0,727580.0,1863218.0,1354987.0,5807714.0,966770.0,556179.0,757437.0,93704012.0,125563.0,117633.0,24612.0,185563464.0,0.0056986185265115,492808400.3209287,1.0795215460002845,5.666878284784585,0.0228289981731931,1.5921964334042724,0.2808323921818683,2.965179731038724,0.2333081484384389,61811007.26451122,35559630.73881956,97370638.00333078,1.657533865593381,0.0080832931678528,0.2747752285213181,0.3112812084851023,0.0007665571494181
1.0,0.25,0.41,3.06,0.0,0.0,64373.47,1006103300.0,10162.0,186245875010.0,976281069.0,998599046.0,1812688848.0,5126998.0,257669853.0,1147908.0,3980658.0,5249592.0,15059596.0,3647397.0,2126292.0,1290518.0,202252100.0,287631.0,240516.0,262945.0,428199402.0,0.0097327731306944,970358678.8752208,0.977650712676527,5.134190765089115,0.0195093585805562,1.14951842243198,0.2238263093426115,5.256956754593174,0.3485878372832843,232017336.58959275,135257172.89665982,367274509.4862526,1.292328492771262,0.006380739680824,0.2880345231172992,0.5041673152169224,0.0011757629684872
2.0,0.09,0.06,3.06,0.0,0.4,64321.27,1005175876.0,1928.0,186094931142.0,501702428.0,345955342.0,699030036.0,2171211.0,92765604.0,562375.0,1609039.0,1073828.0,4521997.0,743945.0,436407.0,604426.0,67314578.0,104349.0,67405.0,15402.0,144469307.0,0.0037563088457611,499119049.68956894,1.45019419298344,6.275986338144188,0.0228700636312688,1.6255710831023964,0.2589902248028243,3.1039497577696027,0.2374676498016252,47367312.66320203,27786229.91942954,75153542.58263157,1.7471214536123567,0.0089791248487066,0.3016256358313438,0.2393574833135544,0.0005731805718428
3.0,0.05,0.09,3.06,0.0,0.4,64311.97,1004923277.0,2011.0,186068053282.0,544405670.0,460682301.0,749376936.0,2656701.0,117082366.0,800806.0,1857485.0,1285388.0,5783897.0,855504.0,620037.0,716531.0,91613159.0,137987.0,104661.0,20334.0,180755928.0,0.004027434708871,541738541.1005859,1.1817377590114972,5.766883151866519,0.0221874202510697,1.7383042462488698,0.3012484336741162,2.790183163559392,0.2222356310978566,54484016.09668356,39487957.84536296,93971973.94204652,1.5553690655026924,0.0078212672482999,0.2995274611168533,0.271325813317929,0.000691512590392
4.0,0.02,0.05,3.06,0.0,0.0,64268.32,1004349508.0,2186.0,185941706782.0,452022937.0,330974044.0,627683192.0,2269095.0,87991077.0,620761.0,1649464.0,739815.0,4460387.0,527714.0,359392.0,565562.0,59562398.0,114969.0,73987.0,21223.0,124026363.0,0.0033756987760465,450065374.0550247,1.365735305213239,6.855809514778748,0.0251394934190907,1.875557951607831,0.2734358929181028,2.2352659171061764,0.1658634105067565,33627433.21023263,22901477.83892776,56528911.04916039,1.708780522982642,0.009495285935264,0.3473656079206018,0.2876660624178734,0.000767659372548
5.0,0.14,0.3,3.06,0.0,0.0,64255.89,1003998149.0,11431.0,185905730406.0,1010365618.0,965237744.0,1311659096.0,5222066.0,271883513.0,1201645.0,4021288.0,4975490.0,13648768.0,3403576.0,1942594.0,983977.0,181917225.0,282328.0,184610.0,246230.0,382638948.0,0.0070555065362184,1006342112.2900896,1.046753117851554,5.410134479780559,0.0188450410087196,1.244921271955565,0.230070919921814,5.154678244741329,0.3645376637656966,216961419.91592452,123830921.524936,340792341.44086057,1.0194141351356023,0.0054089270545985,0.2924958143783486,0.4463563538393915,0.0011259700619917
6.0,0.05,0.06,3.06,0.0,0.0,64245.26,1004000156.0,1663.0,185875095540.0,449865886.0,296538970.0,561998772.0,1959602.0,81130787.0,501253.0,1458554.0,670313.0,3328779.0,447818.0,339779.0,416504.0,56739214.0,92536.0,44959.0,4441.0,115092946.0,0.0030235291627815,448073522.0124806,1.5170548612885515,6.608244440857132,0.0235839791290422,1.6903444427557026,0.2557665117024278,2.2604550086621,0.2013690305063808,28546162.89521772,21659215.75812982,50205378.65334754,1.4045506396680345,0.0073406727135839,0.3120534208370657,0.1665885600128711,0.0004292183119545
7.0,0.0,0.0,3.06,0.0,0.0,64250.03,1003999129.0,1435.0,185888757294.0,385641277.0,238492492.0,491617396.0,1650809.0,64252668.0,483226.0,1167891.0,467421.0,2943638.0,305776.0,278340.0,375918.0,43683695.0,106820.0,42549.0,3519.0,93667055.0,0.0026446860109052,384105190.7924513,1.6169954608046948,6.92184892763836,0.0250488908195238,2.026168605760553,0.2926661163321557,1.9598981757463456,0.1587902452679303,19491714.1207998,17742804.23703435,37234518.35783415,1.5762257203467855,0.0086054533619466,0.4478966994063695,0.1931633135017097,0.0004918271424248
8.0,0.03,0.08,3.06,0.0,0.0,64254.17,1004001050.0,1808.0,185900870468.0,451316088.0,277553379.0,561659240.0,1888272.0,70989049.0,554509.0,1333955.0,515119.0,3276794.0,319067.0,283216.0,424243.0,55220260.0,95768.0,45904.0,4483.0,112991477.0,0.0030212835399104,449517545.8232837,1.626051499088397,6.803275127844867,0.0259102828436846,1.997846331389826,0.2936296376314296,1.855927684454528,0.1572021311074178,20338911.00014288,18053590.68100576,38392501.68114864,1.5285095844572658,0.0076827418052721,0.345043538453913,0.1815398543571685,0.0004459362895132
9.0,0.03,0.02,3.06,0.0,0.4,64252.47,1003997744.0,2031.0,185895971596.0,421056164.0,258319948.0,527597812.0,1743063.0,69548407.0,490463.0,1252910.0,429898.0,2889498.0,262557.0,251472.0,397326.0,49190522.0,116340.0,45552.0,4133.0,103582483.0,0.0028381347237938,419379591.7533456,1.6299792844492211,6.747690271291011,0.024449811457107,1.8986648293998571,0.2813299276746858,1.664207519893121,0.1487794765734394,16736738.802871251,16030123.669281868,32766862.472153123,1.538115825263328,0.0080772877344135,0.4503717227443852,0.1923389981481414,0.0004796660454644
